eventid,iyear,imonth,month_txt,iday,date,country_txt,region_txt,provstate,city,latitude,longitude,multiple,success,suicide,suicide_txt,attacktype1_txt,targtype1_txt,target1,weaptype1_txt,nkill
2.02E+11,2017,1,Jan,2,2/01/2017,Afghanistan,South Asia,Logar,Mohammad Agha district,34.214801,69.098513,0,1,0,No,Bombing/Explosion,Police,Vehicle,Explosives,1
2.02E+11,2017,1,Jan,2,2/01/2017,Myanmar,Southeast Asia,Rakhine,Ponnagyun,20.3335,93.003812,0,1,0,No,Bombing/Explosion,Unknown,Unknown,Explosives,0
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,0,1,Yes,Bombing/Explosion,Unknown,Unknown,Explosives,10
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Saladin,Shirqat,35.499439,43.234894,1,1,0,No,Bombing/Explosion,Private Citizens & Property,Town,Explosives,2
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,Yes,Bombing/Explosion,Private Citizens & Property,Square,Explosives,36
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,No,Bombing/Explosion,Business,Car Park,Explosives,0
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Civilians,Explosives,2
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Civilians,Explosives,1
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,No,Bombing/Explosion,Business,Hospital,Explosives,0
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,No,Bombing/Explosion,Religious Figures/Institutions,Sunni Cleric: Sheikh Mahdi al-Sumaida'i,Explosives,1
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Saladin,Baiji,34.92485,43.491413,1,1,0,No,Unknown,Military,Barracks,Unknown,4
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Diyala,Adhaim,34.275066,44.537865,1,1,0,No,Armed Assault,Terrorists/Non-State Militia,Tribal Fighters,Firearms,9
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Diyala,Adhaim,34.275066,44.537865,1,1,0,No,Armed Assault,Terrorists/Non-State Militia,Tribal Fighters,Explosives,3
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Saladin,Samarra,34.208416,43.890713,1,1,1,Yes,Bombing/Explosion,Police,al-Imam Police Station,Explosives,6
2.02E+11,2017,1,Jan,2,2/01/2017,Iraq,Middle East & North Africa,Saladin,Samarra,34.208416,43.890713,1,1,1,Yes,Bombing/Explosion,Police,al-Mutawakil Police Station,Explosives,5
2.02E+11,2017,1,Jan,2,2/01/2017,Burundi,Sub-Saharan Africa,Bujumbura Rural,Unknown,-3.509014,29.464359,0,1,0,No,Hostage Taking (Kidnapping),Violent Political Party,Local Representative: Alexis Nsabimana,Firearms,
