eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,location,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,gname,guncertain1,claimed,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,dbsource
2.01701E+11,2017,1,1,Egypt,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314,The incident occurred along the Autostrad road in the Maadi neighborhood.,0,1,0,3,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Egypt,Unknown,0,0,Explosives,7,Grenade,0,START Primary Collection
2.01701E+11,2017,1,2,Pakistan,South Asia,Balochistan,Quetta,30.200819,66.994354,The incident occurred in Quetta district.,0,0,0,6,Hostage Taking (Kidnapping),Government (General),"Government Personnel (excluding police, military)",Government of Pakistan,Son of Former Federal Minister: Obedullah Kasi,Pakistan,Unknown,0,0,Unknown,,,0,START Primary Collection
2.01701E+11,2017,1,1,Burkina Faso,Sub-Saharan Africa,Sahel,Sibe,14.119094,-1.515526,The incident occurred in the Tongomayel area.,0,1,0,2,Armed Assault,Religious Figures/Institutions,Religious Figure,Unknown,Imam: Amidou Tamboura,Burkina Faso,Ansar al-Islam (Burkina Faso),0,1,Firearms,5,Unknown Gun Type,1,START Primary Collection
2.01701E+11,2017,1,1,Burkina Faso,Sub-Saharan Africa,Sahel,Djibo,14.093442,-1.634078,,0,1,0,2,Armed Assault,Private Citizens & Property,Laborer (General)/Occupation Identified,Not Applicable,Former Ansarul Islam Member: Mamadou Dicko,Burkina Faso,Ansar al-Islam (Burkina Faso),0,1,Firearms,5,Unknown Gun Type,0,START Primary Collection
2.01701E+11,2017,1,1,India,South Asia,Kerala,Aroor,9.873252,76.302937,The incident occurred along Kottumukil road.,0,1,0,3,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)",Government of India,Convoy of Minister: Kadannappalli Ramachandran,India,Unknown,0,0,Explosives,17,Other Explosive Type,0,START Primary Collection
2.01701E+11,2017,1,1,Iraq,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,The incident occurred in the Al 'Arqub area of the city,0,0,0,3,Bombing/Explosion,Unknown,,Unknown,Unknown,Iraq,Unknown,0,0,Explosives,15,Vehicle,0,START Primary Collection
2.01701E+11,2017,1,1,Afghanistan,South Asia,Ghazni,Ghazni,33.542622,68.415329,,0,1,0,6,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,Not Applicable,Civilians,Afghanistan,Taliban,0,1,Melee,,,0,START Primary Collection
2.01701E+11,2017,1,2,Pakistan,South Asia,Balochistan,Quetta,30.200819,66.994354,The incident occurred in the Western Bypass area.,0,1,0,3,Bombing/Explosion,Military,Paramilitary,Frontier Corps (FC),Vehicle,Pakistan,Baloch Liberation Army (BLA),0,1,Explosives,8,Landmine,0,START Primary Collection
2.01701E+11,2017,1,2,Somalia,Sub-Saharan Africa,Banaadir,Mogadishu,2.002975,45.273875,,1,1,1,3,Bombing/Explosion,Military,Military Checkpoint,Somali Armed Forces (SAF),Checkpoint,Somalia,Al-Shabaab,0,1,Explosives,15,Vehicle,6,START Primary Collection
2.01701E+11,2017,1,2,Somalia,Sub-Saharan Africa,Banaadir,Mogadishu,2.059819,45.326115,,1,1,1,3,Bombing/Explosion,Business,Hotel/Resort,Peace Hotel,Hotel,Somalia,Al-Shabaab,0,1,Explosives,15,Vehicle,5,START Primary Collection
